disease_id,outcome,income,sex,age_group,rel_year,estimate,ci_low,ci_high,p_value,n
1,78,Low,Female,25-44,0,-.1231729239225388,-.28441465,.038068794,.13432859,116
1,78,Low,Female,25-44,1,-.1788893938064575,-.39437968,.036600877,.10371686,116
1,78,Low,Female,25-44,2,-.1814892441034317,-.46211171,.099133216,.20493843,116
1,78,Low,Female,25-44,3,-.2125885933637619,-.5489862,.123809,.21548091,116
1,78,Low,Female,25-44,4,-.2444631457328796,-.64744532,.158519,.23443772,116
1,78,Low,Female,25-44,5,-.0994776263833046,-.57035613,.37140086,.67882365,116
1,78,Low,Female,25-44,-1,-.0542562305927277,-.1619084,.053395942,.32323515,116
1,78,Low,Female,25-44,-2,0,0,0,,116
1,78,Low,Female,25-44,-3,-.0403798446059227,-.12702256,.046262879,.36100167,116
1,78,Low,Female,25-44,-4,-.0775080770254135,-.1845714,.029555244,.15591814,116
1,78,Low,Female,25-44,-5,0,0,0,,116
1,78,Medium,Female,25-44,0,-.0433351546525955,-.13240634,.04573603,.34029397,189
1,78,Medium,Female,25-44,1,-.0950719490647316,-.21787509,.027731197,.12916669,189
1,78,Medium,Female,25-44,2,-.1356746852397919,-.30399436,.032644983,.11413774,189
1,78,Medium,Female,25-44,3,-.2116971164941788,-.41384199,-.0095522301,.040109586,189
1,78,Medium,Female,25-44,4,-.1938755214214325,-.44239077,.054639716,.12624826,189
1,78,Medium,Female,25-44,5,-.2490913718938828,-.53663737,.038454637,.089530103,189
1,78,Medium,Female,25-44,-1,-.0374019704759121,-.10379525,.028991314,.26952991,189
1,78,Medium,Female,25-44,-2,0,0,0,,189
1,78,Medium,Female,25-44,-3,.0206631105393171,-.018786103,.060112324,.30459529,189
1,78,Medium,Female,25-44,-4,-.0011241558240727,-.045378935,.043130625,.96029156,189
1,78,Medium,Female,25-44,-5,0,0,0,,189
1,78,High,Female,25-44,0,.008595529012382,-.029704906,.046895962,.66003078,247
1,78,High,Female,25-44,1,.0191046819090843,-.034224723,.072434083,.48258638,247
1,78,High,Female,25-44,2,.0344282127916813,-.03525161,.10410804,.3328349,247
1,78,High,Female,25-44,3,.0531389117240906,-.036957104,.14323492,.24767539,247
1,78,High,Female,25-44,4,.0520648285746574,-.062516756,.16664642,.37314051,247
1,78,High,Female,25-44,5,.0653489083051682,-.07223215,.20292996,.35186899,247
1,78,High,Female,25-44,-1,-.0088140610605478,-.039215662,.021587538,.56986856,247
1,78,High,Female,25-44,-2,0,0,0,,247
1,78,High,Female,25-44,-3,.006526259239763,-.0079278229,.020980341,.37617135,247
1,78,High,Female,25-44,-4,.0020577057730407,-.012123283,.016238695,.77610224,247
1,78,High,Female,25-44,-5,0,0,0,,247
1,78,Low,Female,45-64,0,-.1363113820552826,-.22199909,-.050623674,.0018211141,260
1,78,Low,Female,45-64,1,-.180784285068512,-.29528657,-.066281989,.0019708774,260
1,78,Low,Female,45-64,2,-.2295832484960556,-.37983045,-.079336062,.0027448775,260
1,78,Low,Female,45-64,3,-.2276843041181564,-.41685909,-.038509529,.018324792,260
1,78,Low,Female,45-64,4,-.2358005195856094,-.46479359,-.0068074572,.043563519,260
1,78,Low,Female,45-64,5,-.2675821185112,-.54107147,.0059072603,.05515353,260
1,78,Low,Female,45-64,-1,-.0583015382289886,-.11113784,-.0054652421,.03056141,260
1,78,Low,Female,45-64,-2,0,0,0,,260
1,78,Low,Female,45-64,-3,.0337038114666939,-.00601323,.073420852,.096261896,260
1,78,Low,Female,45-64,-4,.0293053556233644,-.016048865,.074659579,.20535484,260
1,78,Low,Female,45-64,-5,0,0,0,,260
1,78,Medium,Female,45-64,0,.0148192476481199,-.045721445,.075359941,.63138956,296
1,78,Medium,Female,45-64,1,.0099435690790415,-.082806587,.10269373,.83356786,296
1,78,Medium,Female,45-64,2,-.0035203378647566,-.13279727,.12575659,.95743495,296
1,78,Medium,Female,45-64,3,-.0019691025372595,-.16338541,.15944719,.98092449,296
1,78,Medium,Female,45-64,4,.036888625472784,-.16359103,.23736827,.71836585,296
1,78,Medium,Female,45-64,5,.0705381706357002,-.1634427,.30451903,.55460024,296
1,78,Medium,Female,45-64,-1,.0082244137302041,-.028683266,.045132093,.66228437,296
1,78,Medium,Female,45-64,-2,0,0,0,,296
1,78,Medium,Female,45-64,-3,.0050465930253267,-.018216435,.028309621,.67069459,296
1,78,Medium,Female,45-64,-4,.0088597116991878,-.016421651,.034141075,.49216402,296
1,78,Medium,Female,45-64,-5,0,0,0,,296
1,78,High,Female,45-64,0,.0001062647643266,-.062371369,.062583901,.99734014,206
1,78,High,Female,45-64,1,.0186551418155432,-.070855625,.1081659,.68291539,206
1,78,High,Female,45-64,2,.01865497790277,-.10060059,.13791054,.75914782,206
1,78,High,Female,45-64,3,.0176511388272047,-.13761395,.17291623,.82367527,206
1,78,High,Female,45-64,4,.0234974380582571,-.16967499,.21666986,.81156015,206
1,78,High,Female,45-64,5,.0567788779735565,-.1688924,.28245014,.62191659,206
1,78,High,Female,45-64,-1,-.0176912639290094,-.054329231,.018946702,.34393477,206
1,78,High,Female,45-64,-2,0,0,0,,206
1,78,High,Female,45-64,-3,.0029314109124243,-.023480514,.029343337,.82779002,206
1,78,High,Female,45-64,-4,-.0038284386973828,-.021024879,.013368001,.66257972,206
1,78,High,Female,45-64,-5,0,0,0,,206
1,78,Low,Male,25-44,0,.0028428407385945,-.1013913,.10707698,.95736837,225
1,78,Low,Male,25-44,1,.0100712673738599,-.1298026,.14994512,.88777131,225
1,78,Low,Male,25-44,2,.0329914279282093,-.14447154,.2104544,.71557748,225
1,78,Low,Male,25-44,3,.0498331934213638,-.1660983,.26576468,.65102869,225
1,78,Low,Male,25-44,4,.0933650508522987,-.1662309,.352961,.48085734,225
1,78,Low,Male,25-44,5,.1494127511978149,-.15274087,.45156637,.33244258,225
1,78,Low,Male,25-44,-1,.0121364332735538,-.06183691,.086109772,.7477805,225
1,78,Low,Male,25-44,-2,0,0,0,,225
1,78,Low,Male,25-44,-3,.0348646156489849,-.016607014,.086336248,.18430443,225
1,78,Low,Male,25-44,-4,.0201854612678289,-.032464132,.072835051,.45238224,225
1,78,Low,Male,25-44,-5,0,0,0,,225
1,78,Medium,Male,25-44,0,.0211299136281013,-.055878524,.098138347,.5907197,198
1,78,Medium,Male,25-44,1,.0253089256584644,-.094665535,.14528339,.67926443,198
1,78,Medium,Male,25-44,2,.0104292575269938,-.15292059,.1737791,.90041393,198
1,78,Medium,Male,25-44,3,-.0169989913702011,-.22822486,.19422688,.87466449,198
1,78,Medium,Male,25-44,4,-.0197971481829882,-.27509359,.23549929,.87919509,198
1,78,Medium,Male,25-44,5,-.0157131478190422,-.31454542,.28311914,.91791505,198
1,78,Medium,Male,25-44,-1,.0088611533865333,-.032645147,.050367456,.6756261,198
1,78,Medium,Male,25-44,-2,0,0,0,,198
1,78,Medium,Male,25-44,-3,.0273371338844299,-.0046091252,.059283394,.093500219,198
1,78,Medium,Male,25-44,-4,.0079573774710298,-.020742394,.036657151,.58683032,198
1,78,Medium,Male,25-44,-5,0,0,0,,198
1,78,High,Male,25-44,0,-.0236884262412786,-.0848203,.037443448,.44755688,141
1,78,High,Male,25-44,1,-.0122428312897682,-.10068031,.076194651,.78613544,141
1,78,High,Male,25-44,2,-.0204814504832029,-.13511075,.094147846,.72618556,141
1,78,High,Male,25-44,3,-.0363873057067394,-.18395245,.11117784,.62887847,141
1,78,High,Male,25-44,4,-.0628384500741959,-.24155873,.11588184,.49073493,141
1,78,High,Male,25-44,5,-.0944832637906075,-.31284949,.12388296,.39640576,141
1,78,High,Male,25-44,-1,-.0197460930794477,-.061675321,.022183133,.35598651,141
1,78,High,Male,25-44,-2,0,0,0,,141
1,78,High,Male,25-44,-3,-.0021188722457737,-.014915636,.010677892,.74553353,141
1,78,High,Male,25-44,-4,-.0108641684055328,-.031817682,.010089345,.30951574,141
1,78,High,Male,25-44,-5,0,0,0,,141
1,78,Low,Male,45-64,0,-.0184767451137304,-.095450185,.058496695,.63801253,327
1,78,Low,Male,45-64,1,-.0419417917728424,-.14846404,.064580455,.44027716,327
1,78,Low,Male,45-64,2,-.1049259081482887,-.24380614,.03395433,.13865811,327
1,78,Low,Male,45-64,3,-.1075346320867538,-.28159255,.066523276,.2259312,327
1,78,Low,Male,45-64,4,-.0621114559471607,-.27395752,.14973462,.56552452,327
1,78,Low,Male,45-64,5,-.032678097486496,-.28379005,.21843387,.79867536,327
1,78,Low,Male,45-64,-1,.0072346488013864,-.03975131,.054220606,.76281184,327
1,78,Low,Male,45-64,-2,0,0,0,,327
1,78,Low,Male,45-64,-3,.0085431449115276,-.026952637,.044038925,.63711673,327
1,78,Low,Male,45-64,-4,.0166716314852238,-.02057928,.053922541,.3803795,327
1,78,Low,Male,45-64,-5,0,0,0,,327
1,78,Medium,Male,45-64,0,-.0393841043114662,-.096743427,.017975219,.17837451,306
1,78,Medium,Male,45-64,1,-.0545347109436989,-.13512377,.026054356,.18472904,306
1,78,Medium,Male,45-64,2,-.0972904190421104,-.20967831,.015097463,.089752212,306
1,78,Medium,Male,45-64,3,-.1074798926711082,-.25554866,.040588859,.15481691,306
1,78,Medium,Male,45-64,4,-.058223519474268,-.23475972,.11831268,.51800162,306
1,78,Medium,Male,45-64,5,-.0720920637249947,-.28236839,.13818426,.50159955,306
1,78,Medium,Male,45-64,-1,-.031128142029047,-.066608556,.0043522734,.08551012,306
1,78,Medium,Male,45-64,-2,0,0,0,,306
1,78,Medium,Male,45-64,-3,-.011445171199739,-.029173451,.0062831077,.20574471,306
1,78,Medium,Male,45-64,-4,-.0040402901358902,-.024929347,.016848767,.70461619,306
1,78,Medium,Male,45-64,-5,0,0,0,,306
1,78,High,Male,45-64,0,-.0606561973690987,-.13300678,.011694386,.1003425,179
1,78,High,Male,45-64,1,-.0528004951775074,-.15207055,.046469554,.29718021,179
1,78,High,Male,45-64,2,-.057426817715168,-.19125338,.076399744,.40031266,179
1,78,High,Male,45-64,3,-.0733049437403679,-.24256784,.095957957,.39596844,179
1,78,High,Male,45-64,4,-.0847954675555229,-.29027367,.12068275,.41860685,179
1,78,High,Male,45-64,5,-.1215035542845726,-.3635174,.1205103,.32510465,179
1,78,High,Male,45-64,-1,-.0248209722340107,-.071092881,.021450937,.29308662,179
1,78,High,Male,45-64,-2,0,0,0,,179
1,78,High,Male,45-64,-3,-.0138953141868114,-.035033528,.007242898,.19760111,179
1,78,High,Male,45-64,-4,-.01542828977108,-.04844116,.017584583,.35967234,179
1,78,High,Male,45-64,-5,0,0,0,,179
1,79,Medium,Female,25-44,0,-.0033179658930749,-.085849516,.079213582,.93719435,127
1,79,Medium,Female,25-44,1,.0326915495097637,-.085770167,.15115327,.58857942,127
1,79,Medium,Female,25-44,2,.0610870383679867,-.09641175,.21858582,.44713497,127
1,79,Medium,Female,25-44,3,.122049555182457,-.083972275,.32807139,.24559101,127
